RA,Dec
20.49667,-37.38889
20.49958,-1.03986
20.5025,-32.74639
20.51042,0.33986
20.515,-30.08542
20.52292,-33.61847
20.52375,-61.11778
20.52625,-29.33055
20.54542,22.15264
20.5575,56.45597
20.56417,20.36083
20.58834,-56.73847
20.60542,-29.27347
20.62,-4.35556
20.64042,-22.90139
20.65042,-28.72097
20.65333,3.72861
20.65583,-26.77958
20.67375,54.87903
20.70792,-12.7575
20.71,0.71347
20.71,-24.66028
20.72542,-75.35486
20.73583,7.41819
20.78625,31.82069
20.78708,34.34681
20.80375,33.45917
20.83708,-57.48139
20.83958,58.14389
20.84125,10.64264
20.85833,-76.60625
20.85875,-79.69431
20.90417,-17.83736
20.905,33.25222
20.90708,35.89486
20.90917,-23.18347
20.91958,42.17208
20.92917,1.98458
20.94417,-58.80542
20.95458,-14.49569
20.97667,-35.06736
20.99167,-13.70028
21.08125,4.46028
21.11708,-33.91778
21.11792,2.63736
21.16958,6.94153
21.17417,-15.68403
21.17875,-31.72431
21.20125,-11.97319
21.21833,-30.74653
21.245,25.95083
21.25458,-51.36417
21.27292,-14.35403
21.28042,8.69
21.28167,-43.03959
21.34292,-75.0043
21.37125,-14.88125
21.3725,1.76764
21.37292,-0.09653
21.38083,32.13347
21.39125,-41.80889
21.4025,23.51264
21.41167,-40.83889
21.41958,2.97375
21.42417,-18.42236
21.44,48.37444
21.48583,35.17764
21.4925,47.22472
21.52167,-1.36431
21.52458,-37.96583
21.52584,-32.90986
21.53958,34.57917
21.56417,19.16972
21.60125,20.06722
21.6425,31.61639
21.67667,25.98292
21.68792,-18.17125
21.70375,3.45264
21.73792,33.12514
21.7675,-67.33125
21.77375,34.37944
21.77583,-5.07403
21.82042,-17.76861
21.83583,-46.17736
21.85583,-20.35083
21.86958,-49.47278
21.8725,29.10611
21.88708,19.17875
21.89125,-8.31139
21.91625,45.40611
21.9325,-40.27833
21.95667,-26.84347
21.96042,38.14167
21.99083,18.99125
22.00458,2.62931
22.01125,4.70472
22.02875,-18.81042
22.03292,-32.94806
22.03667,-52.64
22.07917,-6.80111
22.10125,-30.49583
22.10292,17.08222
22.14292,42.26833
22.195,-54.35528
22.1975,7.07056
22.21625,-23.65875
22.23792,21.12528
22.27083,21.725
22.28417,-7.64292
22.295,-21.69944
22.30167,48.32597
22.31708,23.27778
22.33167,-3.73611
22.34583,22.51667
22.37917,8.37583
22.39208,-21.63319
22.43583,61.79903
22.43708,-40.56417
22.49083,-17.00042
22.54292,12.0575
22.57208,-25.22889
22.58333,-25.95292
22.595,-46.02472
22.62708,-42.70611
22.65083,-18.97111
22.65625,-26.30167
22.6575,-5.91347
22.66833,-29.73306
22.67792,-23.59111
22.71583,1.45347
22.77667,61.34306
22.80042,70.265
22.80042,75.89445
22.80458,-45.22319
22.80833,-75.94542
22.81417,8.58681
22.8225,-39.9468
22.85083,33.14361
22.85917,36.04486
22.86167,-4.75347
22.87167,-8.45222
22.89167,-22.37431
22.90583,-29.70458
22.90708,0.54764
22.945,38.79917
