_2RXS,RAJ2000,DEJ2000,SrcFlux,ALLWISE,W1mag,W2mag,W3mag,W4mag,SepW-2RXS,MatchFlag,_1RXS,_2MASS,Jmag,Hmag,Kmag,Gaia,pmRA,pmDE,__Gmag_
b'2RXS J155843.7+253405',239.68236,25.56806,2.0021e-11,b'J155843.88+253409.0',5.609,5.442,5.552,5.446,4.4092345,1,b'J155843.8+253405',701865406.0,6.323,5.789,5.654,1220073283920434688,-77.473,-118.423,7
b'2RXS J103310.0+304517',158.29195,30.75475,8.5281e-13,b'J103309.72+304515.5',6.712,6.727,6.781,6.708,4.693347,1,b'J103310.0+304519',464508769.0,7.093,6.835,6.767,735729272195044736,6.685,-100.429,8
b'2RXS J080657.4+253204',121.73944,25.53472,2.997e-12,b'J080657.37+253200.6',7.098,7.173,7.121,7.097,4.484446,1,b'J080657.4+253204',158675131.0,7.848,7.361,7.21,681883370283616640,-81.728,-122.327,9
b'2RXS J013723.0+265710',24.34625,26.95286,9.7134e-12,b'J013723.32+265710.7',7.515,7.557,7.481,7.599,3.0196815,1,b'J013723.4+265709',930506988.0,8.429,7.784,7.642,295713102534550272,117.99,-127.985,10
b'2RXS J220703.5+343118',331.76494,34.52185,3.4087e-12,b'J220703.45+343117.9',6.155,6.074,6.214,6.008,1.7300099,1,b'J220703.6+343118',767789442.0,6.425,6.212,6.212,1900396893880488448,118.734,62.893,7
b'2RXS J175524.6+361122',268.8529,36.1896,4.213e-11,b'J175524.58+361119.8',5.691,5.515,5.598,5.519,2.976777,1,b'J175524.7+361122',615874816.0,6.167,5.747,5.627,4608207472875081728,-135.651,-19.973,7
b'2RXS J143412.0+323205',218.55002,32.53476,1.0561e-12,b'J143411.76+323204.1',5.259,5.048,5.24,5.189,3.183833,1,b'J143412.1+323206',880901631.0,5.46,5.287,5.222,1287069276180079616,105.919,6.547,6
b'2RXS J113352.7+361329',173.46994,36.22494,1.798e-12,b'J113352.62+361330.4',8.577,8.597,8.465,9.03,2.0321143,1,b'J113352.8+361331',207097136.0,9.512,8.891,8.705,759879770220898816,-142.006,-51.035,11
b'2RXS J022609.5+342813',36.53963,34.47038,1.7966e-12,b'J022609.68+342809.5',6.232,6.177,6.251,6.236,4.3861403,1,b'J022609.3+342817',1311449787.0,6.707,6.322,6.231,326940160479255424,116.04,-50.808,7
b'2RXS J010801.2+320042',17.00516,32.01188,2.5942e-12,b'J010801.50+320043.4',5.21,5.052,5.257,5.142,3.4556108,1,b'J010801.5+320043',377883938.0,5.428,5.287,5.25,313476674954056064,202.472,-24.94,6
b'2RXS J001821.2+305723',4.58849,30.95661,5.1666e-11,b'J001821.01+305720.3',6.369,6.249,6.309,6.216,4.5050306,1,b'J001821.2+305723',137907646.0,7.015,6.507,6.387,2860839988873745920,141.454,-172.942,8
b'2RXS J232053.3+381100',350.2223,38.18345,3.6879e-12,b'J232053.38+381055.7',4.557,4.277,4.641,4.586,4.641667,1,b'J232053.3+381059',354943368.0,4.844,4.683,4.618,1916957325701168640,129.32,-60.049,5
b'2RXS J230023.8+410731',345.09922,41.12529,1.5385e-11,b'J230023.80+410727.9',5.867,5.944,6.327,6.258,3.0663385,1,b'J230023.8+410731',1185578778.0,7.013,6.576,6.506,1930969879844236032,-29.14,-131.676,8
b'2RXS J134327.8+391132',205.86595,39.19239,8.3271e-13,b'J134328.11+391132.9',9.183,9.193,9.122,9.027,3.310509,1,b'J134327.7+391131',215892853.0,9.816,9.455,9.299,1496733980249717760,-115.791,-13.472,11
b'2RXS J125834.5+381645',194.64409,38.2792,5.2147e-12,b'J125834.88+381648.0',6.806,6.793,6.794,6.645,4.5596905,1,b'J125834.7+381642',211965496.0,7.533,6.996,6.881,1523644974015457792,-129.094,-42.276,8
